"209","Hospet","Hosapete","8394","15.2688542","76.3909241","483.8506165","206159","Bellary","KA"
"210","Bhusawal","Bhusaval","2582","21.0455204","75.8010962","210.7913361","204016","Jalgaon","MH"
"211","Deoghar",,"6432","24.4763201","86.6913222","252.3865356","203116","Deoghar","JH"
"212","Ongole",,"8592","15.5057232","80.049922","19.72561646","202826","Prakasam","AP"
"213","Puri","Jagannath Puri","6752","19.8133822","85.8314655","13.13162231","201,026","Puri","OR"
"214","Haldia",,"3224","22.0666742","88.0698118","7.114762783","200762","Purba Medinipur","WB"
"215","Nandyal",,"8514","15.4785694","78.4830934","211.9016724","200746","Kurnool","AP"
"216","Khandwa",,"733","21.8257334","76.352571","309.0037842","200681","Khandwa","MP"
"217","Morena",,"7532","26.4933562","77.9909949","176.6551819","200506","Morena","MP"
"218","Raiganj",,"3523","25.6185295","88.1255837","37.43837738","199758","Uttar Dinajpur","WB"
"219","Anand",,"2692","22.5645175","72.928871","40.31628799","198282","Anand","GJ"
"220","Bhiwani",,"1664","28.7990445","76.1335112","218.6511383","197662","Bhiwani","HR"
"221","Bhind",,"7534","26.5587354","78.7872876","150.0497437","197332","Bhind","MP"
"222","Amroha",,"5922","28.9043537","78.4673426","222.0056305","197135","Amroha","UP"
"223","Hardoi",,"5852","27.3986345","80.1316927","149.3543243","197046","Hardoi","UP"
"224","Vaniyambadi",,"4174","12.6950325","78.6218853","348.2792969","195061","Vellore","TN"
"225","Morbi","Morvi","2822","22.8119895","70.8236195","49.09431839","194947","Morbi","GJ"
"226","Fatehpur",,"5180","25.9200736","80.8099941","120.8431854","193801","Fatehpur","UP"
"227","Kasaragod",,"4994","12.5102239","74.9851678","23.28479195","192856","Kasaragod","KL"
"228","Raebareli",,"535","26.2345298","81.2408689","115.0805283","191625","Raebareli","UP"
"229","Daman",,"2875","20.3973736","72.8327991","13.75084972","191173","Daman","DD"
"230","Orai",,"5162","26.00864","79.4478858","137.4337158","190625","Jalaun","UP"
"231","Chhindwara",,"7162","22.057437","78.9381729","686.0933228","190008","Chhindwara","MP"
"232","Barmer",,"2982","25.7531537","71.4180622","173","189715","Barmer","RJ"
"233","Sitapur",,"5862","27.561892","80.688511","143.3459778","188230","Sitapur","UP"
"234","Bahraich",,"5252","27.5708377","81.5980246","123.5119934","186241","Bahraich","UP"
"235","Phusro",,"6549","23.7622641","86.0020693","216.7354279","186139","Bokaro","JH"
"236","Khammam",,"8742","17.247318","80.151443","129.4547729","184210","Khammam","TG"
"237","Khambhat","Cambay","2698","22.316748","72.624144","17.96876717","183830","Anand","GJ"
"238","Sirsa",,"1666","29.5335931","75.0177029","202.0065765","183282","Sirsa","HR"
"239","Modinagar",,"1232","28.8316307","77.5779592","222.1780243","182811","Ghaziabad","UP"
"240","Krishnanagar",,"3472","23.4008744","88.5013962","19.99343681","181182","Nadia","WB"
"241","Guna",,"7542","24.6348197","77.2979782","481.0746155","180978","Guna","MP"
"242","Shivpuri",,"7492","25.4357869","77.665066","469.5222778","179972","Shivpuri","MP"
"243","Unnao",,"515","26.5393449","80.4878195","127.0844574","178681","Unnao","UP"
"244","Surendranagar",,"2752","22.7201319","71.649536","67.79012299","177851","Surendranagar","GJ"
"245","Balasore","Baleshwar","6782","21.504467","86.922227","18.56797409","177,557","Balasore","OR"
"246","Nabadwip","Naodah; Navadvip","3472","23.4036446","88.3676393","18.56731415","175474","Nadia","WB"
"247","Bongaigaon",,"3664","26.5009992","90.5352356","61.44454956","174973","Bongaigaon","AS"
"248","Alappuzha","Alleppey","477","9.4980667","76.3388484","7.437794209","174164","Alappuzha","KL"
"249","Alappuzha","Alleppey","477","9.4980667","76.3388484","7.437794209","174164","Alappuzha","KL"
"250","Cuddalore",,"4142","11.744699","79.7680243","7.457636833","173636","Cuddalore","TN"
"251","Hassan",,"8172","13.0068142","76.0995519","951.194397","173008","Hassan","KA"
"252","Gadag","Betgeri; Betageri; Betigeri","8372","15.4324651","75.6380337","659.7345581","172612","Gadag","KA"
"253","Shimla","Simla","177","31.1048145","77.1734033","2196.884277","171817","Shimla","HP"
"254","Komarapalayam","Kumarapalayam","4288","11.4466642","77.6943353","169.8353882","171594","Namakkal","TN"
"255","Bahadurgarh",,"1276","28.6924464","76.9239727","219.205719","170426","Jhajjar","HR"
"256","Machilipatnam",,"8672","16.1905457","81.1361543","10.91092873","169892","Krishna","AP"
"257","Midnapore","Medinipur","3222","22.4308892","87.3214908","53.37340546","169127","Paschim Medinipur","WB"
"258","Bharuch","Broach","2642","21.701963","72.99996","16.83368874","169007","Bharuch","GJ"
"259","Hoshiarpur",,"1882","31.5143178","75.911483","297.8375244","168443","Hoshiarpur","PB"
"260","Jaunpur",,"5452","25.7490034","82.6987002","82.50634003","168128","Jaunpur","UP"
"261","Adoni",,"8512","15.6322227","77.2728368","425.79953","166537","Kurnool","AP"
"262","Jind",,"1681","29.3211153","76.3058328","225","166225","Jind","HR"
"263","Udupi","Udipi; Odipu","820","13.3371151","74.746596","28.10068703","165401","Udupi","KA"
"264","Tonk",,"154","26.1620402","75.7894716","278.864624","165294","Tonk","RJ"
"265","Tenali",,"8644","16.2395313","80.6493396","17","164937","Guntur","AP"
"266","Lakhimpur",,"5872","27.9490794","80.7824012","150.9188232","164925","Lakhimpur Kheri","UP"
"267","Balurghat",,"3522","25.2372834","88.7830612","29.95094872","164593","Dakshin Dinajpur","WB"
"268","Kanchipuram","Kanchi; Kancheepuram","4112","12.8341735","79.7036402","88.02164459","164265","Kanchipuram","TN"
"269","Vapi","Wapi","260","20.3893155","72.9106202","25.61983109","163630","Valsad","GJ"
"270","Proddatur",,"8564","14.7491864","78.5531577","159.6723785","162816","Kadapa","AP"
"271","Ambur",,"4174","12.7903613","78.7166084","322.8276978","162521","Vellore","TN"
"272","Robertsonpet",,"8153","12.9551189","78.2698622","851.800415","162230","Kolar","KA"
"273","Hathras",,"5722","27.6056212","78.0537813","183.0232239","161289","Hathras","UP"
"274","Navsari",,"2637","20.9467019","72.9520348","15.55265999","160941","Navsari","GJ"
"275","Banda",,"5192","25.4796224","80.3380213","123.1686783","160432","Banda","UP"
"276","Pilibhit",,"5882","28.6207939","79.8128649","189.0522003","160146","Pilibhit","UP"
"277","Mahbubnagar","Palamoor","8542","16.748788","78.003626","499.0140686","157733","Mahbubnagar","TG"
"278","Bettiah",,"6254","26.8028048","84.5169757","77.7228775","156200","West Champaran","BR"
"279","Vidisha",,"7592","23.5251102","77.8081363","429","155959","Vidisha","MP"
"280","Saharsa",,"6478","25.8834961","86.6006249","48.17268372","155175","Saharsa","BR"
"281","Kishangarh",,"1463","26.5870344","74.856397","446.5039063","154986","Ajmer","RJ"
"282","Thanesar","Thaneswar; Sthanishvara","1744","29.9696148","76.8197522","252.9472504","154962","Kurukshetra","HR"
"283","Barabanki","Nawabganj","5248","26.9400001","81.19","123.177681","154692","Barabanki","UP"
"284","Mughalsarai",,"5412","25.2814947","83.1198203","83.84526062","154692","Chandauli","UP"
"285","Veraval",,"2876","20.91424","70.3611","8","154636","Gir Somnath","GJ"
"286","Rudrapur",,"5944","28.9875082","79.4141214","218.9766541","154485","Udham Singh Nagar","UT"
"287","Chittorgarh","Chittaurgarh; Chittor","1472","24.8887435","74.6269216","400.5744934","154439","Chittorgarh","RJ"
"288","Dibrugarh",,"373","27.4728327","94.9119621","109.443573","154019","Dibrugarh","AS"
